1 75
2  100
3 124
4 158
5 221
6 319
7 435
8 541
9 704
10  994
11 1301
12 1630
13 2183
14 2770
15 3613
16 4596
17 6344
18 9197
19 13779
20 19367
21 24192
22 33592
23 43781
24 54856
25 68211
26 85435
27 104126
28 123578
29 143491
30 163788
31 188530
32 215003
33 244877
34 277161
35 311357
36 336673
37 367004
38 400335



